1,0.015458608,-0.05564643,0.10303433,-0.18150115,-0.015956072,0.07078126,-0.1838747,0.23750302,-0.032032903,-0.08341795,-0.03392573,-0.19491772,-0.009572132,-0.010227136,-0.011234337,0.027209116,0.2255671,0.30004597,0.014653915,-0.1314474,-0.07153539,0.2626153,0.1702,-0.054122657,0.10789418,0.1821871,-0.0046398523,0.07828653,-0.1145355,-0.118069805,0.18506625,-0.56034106,0.0025517487,0.17518608,-0.20594314,-0.06362989,0.084252514,-0.24895298,0.13223854,0.091485254,0.11449203,-0.011495671,-0.048117694,-0.0418343,-0.3150221,-0.025415605,-0.25410548,0.18432494,-0.37813744,-0.21811081,-0.066034965,-0.05433706,0.111020885,0.13732743,0.0044819945,-0.010416001,-0.09168264,-0.19244011,0.18391447,-0.12728447,-0.021266757,-0.109481655,-0.23957145,-0.30733013,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5
1,-0.31909364,-0.43588695,0.0563679,-0.25862423,0.1487862,-0.09293617,0.45868328,-0.08632709,-0.11024605,0.11204585,-0.0949183,-0.25178245,-0.23335227,0.077065445,-0.14280435,0.15591674,-0.01645596,-0.14337325,-0.36170867,-0.020789651,-0.3194102,0.09627777,-0.12965687,0.43883032,-0.19274256,-0.21825325,0.33559573,0.13707584,0.015322146,-0.28643894,-0.1644565,-0.2246477,-0.27076432,0.12846129,-0.21551184,-0.2185292,-0.08857695,-0.0016046237,-0.14031643,-0.01699593,0.19004917,-0.41620934,0.2296609,-0.023047144,-0.05449023,0.1719549,-0.22601599,0.36743283,-0.07272492,-0.22316235,-0.13711967,0.29612133,0.433179,0.14637789,-0.034238607,0.103206374,-0.3092998,0.13434519,-0.18398225,-0.08042642,0.11536565,-0.16035466,-0.027686622,-0.3739367,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6
2,0.015458608,-0.05564643,0.10303433,-0.18150115,-0.015956072,0.07078126,-0.1838747,0.23750302,-0.032032903,-0.08341795,-0.03392573,-0.19491772,-0.009572132,-0.010227136,-0.011234337,0.027209116,0.2255671,0.30004597,0.014653915,-0.1314474,-0.07153539,0.2626153,0.1702,-0.054122657,0.10789418,0.1821871,-0.0046398523,0.07828653,-0.1145355,-0.118069805,0.18506625,-0.56034106,0.0025517487,0.17518608,-0.20594314,-0.06362989,0.084252514,-0.24895298,0.13223854,0.091485254,0.11449203,-0.011495671,-0.048117694,-0.0418343,-0.3150221,-0.025415605,-0.25410548,0.18432494,-0.37813744,-0.21811081,-0.066034965,-0.05433706,0.111020885,0.13732743,0.0044819945,-0.010416001,-0.09168264,-0.19244011,0.18391447,-0.12728447,-0.021266757,-0.109481655,-0.23957145,-0.30733013,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2
